Studio name,Instructor,Price,Seats remaining,Category
Super yoga,Jenny,$20 ,20,yoga
Lee's Karate Studio,Lee,$30 ,12,martial arts
Kenny's Cycling,Kenny,$20 ,25,cycling
Soccer Camp USA,Rick,$10 ,5,sports
Yoga R US,Rebecca,$40 ,30,yoga
Barry's Bootcamp,Barry,$45 ,5,cycling
A Boxing Club,Anthony,$55 ,10,martial arts
Gerard's Ball Club,Gerard,$30 ,3,sports
Blue Planet Muay Thai,Ben,$33 ,22,martial arts
Rise Studio,Kerry,$10 ,30,martial arts
NY Dance Studio,Tia,$20 ,30,dance
Physical 33,Erica,$35 ,25,dance
